Keithley Instruments: Chronopotentiometry

System Parameters
Date/Time,Tue Apr 26 00:41:43 2022
Model,2450
Serial Number,04431893
Firmware,1.6.7c
Program Version,122148
EC Framework Version,1.0


Measurement Interval:,0.01,s/pt
VRange:,2

Step #1 Settings
Current,1e-06,A
Duration,180,s

Step #1 Quick Stats
17852,points recorded,,0.32611380872,V average
0.14340639114,V minimum,,0.042615912772,V standard deviation
0.33620858192,V median,,180.03346596,s to run experiment
0.37760853767,V maximum

Raw Data

Step #1
Data Pt, Times (s), Current (A), Potential (V)
334,3.35608,1e-06,0.21404719353
335,3.36615,1e-06,0.21413874626
336,3.37623,1e-06,0.21419596672
337,3.3863,1e-06,0.21431040764
338,3.39639,1e-06,0.21434473991
339,3.40647,1e-06,0.21441340446
340,3.41655,1e-06,0.21451640129
341,3.42662,1e-06,0.21456241608
342,3.43669,1e-06,0.21471118927
343,3.44677,1e-06,0.21472263336
344,3.45685,1e-06,0.21488285065
345,3.46693,1e-06,0.21485996246
346,3.47701,1e-06,0.21504306793
347,3.48708,1e-06,0.21503162384
348,3.49714,1e-06,0.21519207954
349,3.5084,1e-06,0.21520352364
350,3.51733,1e-06,0.21537518501
351,3.52739,1e-06,0.21534085274
352,3.53747,1e-06,0.21551251411
353,3.54754,1e-06,0.21552395821
354,3.55761,1e-06,0.215695858
355,3.56771,1e-06,0.21565008163
356,3.57777,1e-06,0.2158446312
357,3.58785,1e-06,0.21579885483
358,3.59792,1e-06,0.2159819603
359,3.60801,1e-06,0.21595907211
360,3.61807,1e-06,0.21617674828
361,3.62813,1e-06,0.2161192894
362,3.63821,1e-06,0.2162797451
363,3.64828,1e-06,0.2162797451
364,3.65836,1e-06,0.21647429466
365,3.66843,1e-06,0.2164285183
366,3.67851,1e-06,0.21664595604
367,3.68859,1e-06,0.21658873558
368,3.69867,1e-06,0.21679496765
369,3.70875,1e-06,0.21674919128
370,3.71884,1e-06,0.21696662903
371,3.72887,1e-06,0.21687507629
372,3.73895,1e-06,0.21709251404
373,3.74902,1e-06,0.21711540222
374,3.75912,1e-06,0.21720695496
375,3.76919,1e-06,0.21722984314
376,3.77926,1e-06,0.21739029884
377,3.78934,1e-06,0.21736741066
378,3.79942,1e-06,0.21749329567
379,3.8095,1e-06,0.21745896339
380,3.81957,1e-06,0.21764206886
381,3.82964,1e-06,0.21765351295
382,3.83973,1e-06,0.21782541275
383,3.8498,1e-06,0.21782541275
384,3.85989,1e-06,0.21799707413
385,3.86997,1e-06,0.21788263321
386,3.88003,1e-06,0.21815729141
387,3.89048,1e-06,0.21798563004
388,3.9005,1e-06,0.21836352348
389,3.91058,1e-06,0.21814584732
390,3.92065,1e-06,0.21848940849
391,3.93072,1e-06,0.21827173233
392,3.94079,1e-06,0.21862673759
393,3.95086,1e-06,0.21842074394
394,3.96093,1e-06,0.2187526226
395,3.97101,1e-06,0.21859240532
396,3.98108,1e-06,0.21888995171
397,3.99116,1e-06,0.21877551079
398,4.00123,1e-06,0.21899318695
399,4.0113,1e-06,0.21895885468
400,4.02137,1e-06,0.21915340424
401,4.03146,1e-06,0.21907329559
402,4.04152,1e-06,0.2193365097
403,4.05159,1e-06,0.21922206879
404,4.06166,1e-06,0.21942806244
405,4.07173,1e-06,0.21938228607
406,4.0818,1e-06,0.21958851814
407,4.09188,1e-06,0.21951985359
408,4.10195,1e-06,0.21972584724
409,4.11201,1e-06,0.2196457386
410,4.12209,1e-06,0.21988606453
411,4.13217,1e-06,0.21980595589
412,4.14224,1e-06,0.22001218796
413,4.15232,1e-06,0.21990895271
414,4.16239,1e-06,0.22014951706
415,4.17247,1e-06,0.22008085251
416,4.18255,1e-06,0.22026395798
417,4.19262,1e-06,0.22019529343
418,4.2027,1e-06,0.22042417526
419,4.21277,1e-06,0.22033262253
420,4.22285,1e-06,0.22052717209
421,4.23291,1e-06,0.22045850754
422,4.24298,1e-06,0.22064185143
423,4.25305,1e-06,0.22061896324
424,4.26312,1e-06,0.22079062462
425,4.2732,1e-06,0.22077918053
426,4.28328,1e-06,0.22091650963
427,4.29575,1e-06,0.22101950645
428,4.30347,1e-06,0.22103095055
429,4.31352,1e-06,0.22108817101
430,4.32359,1e-06,0.22114562988
431,4.33367,1e-06,0.22123718262
432,4.34375,1e-06,0.22129440308
433,4.35382,1e-06,0.22136306763
434,4.3639,1e-06,0.22144317627
435,4.37397,1e-06,0.22148895264
436,4.38405,1e-06,0.22158050537
437,4.39412,1e-06,0.22161483765
438,4.40419,1e-06,0.22172951698
439,4.41426,1e-06,0.22175240517
440,4.42434,1e-06,0.22187829018
441,4.43442,1e-06,0.22191262245
442,4.44449,1e-06,0.22200417519
443,4.45456,1e-06,0.22204995155
444,4.46463,1e-06,0.22214150429
445,4.47471,1e-06,0.22215294838
446,4.48478,1e-06,0.22225618362
447,4.49485,1e-06,0.22231340408
448,4.50492,1e-06,0.22235918045
449,4.515,1e-06,0.22245073318
450,4.52507,1e-06,0.22249650955
451,4.53514,1e-06,0.22261095047
452,4.54522,1e-06,0.22262239456
453,4.5553,1e-06,0.22275996208
454,4.56537,1e-06,0.22273683548
455,4.57545,1e-06,0.22290873528
456,4.58553,1e-06,0.222874403
457,4.5956,1e-06,0.22302317619
458,4.60567,1e-06,0.22300028801
459,4.61575,1e-06,0.22316050529
460,4.62582,1e-06,0.22313761711
461,4.63591,1e-06,0.22322916985
462,4.64598,1e-06,0.22324061394
463,4.65605,1e-06,0.22337818146
464,4.66612,1e-06,0.22333240509
465,4.6762,1e-06,0.22351551056
466,4.68627,1e-06,0.22346973419
467,4.69635,1e-06,0.22362995148
468,4.70642,1e-06,0.22360706329
469,4.71651,1e-06,0.22379016876
470,4.72658,1e-06,0.2237329483
471,4.73665,1e-06,0.22388195992
472,4.74676,1e-06,0.22388195992
473,4.75861,1e-06,0.22406506538
474,4.76866,1e-06,0.22395062447
475,4.77873,1e-06,0.2241795063
476,4.78883,1e-06,0.22405362129
477,4.79888,1e-06,0.2243168354
478,4.80894,1e-06,0.22416806221
479,4.81901,1e-06,0.22452306747
480,4.82909,1e-06,0.22424817085
481,4.83919,1e-06,0.2246260643
482,4.84925,1e-06,0.22440862656
483,4.85932,1e-06,0.22475194931
484,4.8694,1e-06,0.22454595566
485,4.87948,1e-06,0.22486639023
486,4.88956,1e-06,0.22466039658
487,4.89962,1e-06,0.22498106956
488,4.9097,1e-06,0.22484350204
489,4.91977,1e-06,0.22506117821
490,4.92983,1e-06,0.22496962547
491,4.93994,1e-06,0.22517561913
492,4.95002,1e-06,0.22510695457
493,4.96009,1e-06,0.22529006004
494,4.97016,1e-06,0.22522139549
495,4.98026,1e-06,0.22540450096
496,4.99035,1e-06,0.22532439232
497,5.00042,1e-06,0.22555351257
498,5.01049,1e-06,0.22546172142
499,5.02054,1e-06,0.22567939758
500,5.03062,1e-06,0.22558784485
501,5.04069,1e-06,0.2257938385
502,5.05077,1e-06,0.22569084167
503,5.06085,1e-06,0.22591972351
504,5.07093,1e-06,0.22582817078
505,5.081,1e-06,0.22602272034
506,5.09107,1e-06,0.22597694397
507,5.10119,1e-06,0.2261030674
508,5.11124,1e-06,0.22606873512
509,5.12133,1e-06,0.22621750832
510,5.13141,1e-06,0.22617173195
511,5.1415,1e-06,0.22635483742
512,5.15156,1e-06,0.22626328468
513,5.16163,1e-06,0.22649216652
514,5.1717,1e-06,0.22641205788
515,5.18178,1e-06,0.22658371925
516,5.19186,1e-06,0.22654938698
517,5.20193,1e-06,0.22664117813
518,5.21201,1e-06,0.22666406631
519,5.22208,1e-06,0.22678995132
520,5.23215,1e-06,0.22678995132
521,5.24223,1e-06,0.22685861588
522,5.25571,1e-06,0.22697305679
523,5.26576,1e-06,0.22692728043
524,5.27583,1e-06,0.2270989418
525,5.2859,1e-06,0.22706460953
526,5.29598,1e-06,0.22723650932
527,5.30605,1e-06,0.22721362114
528,5.31613,1e-06,0.22736239433
529,5.32621,1e-06,0.22732806206
530,5.33628,1e-06,0.22748827934
531,5.34635,1e-06,0.2274081707
532,5.35643,1e-06,0.22760272026
533,5.36651,1e-06,0.22751116753
534,5.37656,1e-06,0.22770595551
535,5.38664,1e-06,0.22769451141
536,5.39671,1e-06,0.22776317596
537,5.40678,1e-06,0.22778606415
538,5.41686,1e-06,0.22788906097
539,5.42693,1e-06,0.22793483734
540,5.43701,1e-06,0.22800350189
541,5.44709,1e-06,0.22800350189
542,5.45716,1e-06,0.2281293869
543,5.46723,1e-06,0.22814083099
544,5.47731,1e-06,0.22826695442
545,5.48738,1e-06,0.22822093964
546,5.49745,1e-06,0.22839283943
547,5.50752,1e-06,0.22831273079
548,5.5176,1e-06,0.22853016853
549,5.52767,1e-06,0.22842717171
550,5.53775,1e-06,0.22865605354
551,5.54781,1e-06,0.22848439217
552,5.55788,1e-06,0.22880506516
553,5.56795,1e-06,0.2285759449
554,5.57802,1e-06,0.22894239426
555,5.5881,1e-06,0.22866749763
556,5.59817,1e-06,0.2290225029
557,5.60825,1e-06,0.22881650925
558,5.61834,1e-06,0.22909116745
559,5.62838,1e-06,0.22894239426
560,5.63848,1e-06,0.22922849655
561,5.64856,1e-06,0.22901105881
562,5.65863,1e-06,0.22927427292
563,5.66869,1e-06,0.229159832
564,5.67876,1e-06,0.22938895226
565,5.68887,1e-06,0.22928571701
566,5.69892,1e-06,0.22948050499
567,5.709,1e-06,0.22938895226
568,5.71908,1e-06,0.22961783409
569,5.72916,1e-06,0.22950339317
570,5.73925,1e-06,0.22968649864
571,5.7493,1e-06,0.22960639
572,5.75938,1e-06,0.22978949547
573,5.76945,1e-06,0.22975516319
574,5.78204,1e-06,0.22984671593
575,5.79113,1e-06,0.22984671593
576,5.8012,1e-06,0.22999572754
