Keithley Instruments: Chronopotentiometry

System Parameters
Date/Time,Tue Apr 26 01:07:48 2022
Model,2450
Serial Number,04431893
Firmware,1.6.7c
Program Version,122148
EC Framework Version,1.0


Measurement Interval:,0.01,s/pt
VRange:,2

Step #1 Settings
Current,1e-06,A
Duration,500,s

Step #1 Quick Stats
49606,points recorded,,0.35327284618,V average
-0.11723709106,V minimum,,0.086111879634,V standard deviation
0.38489317894,V median,,500.03347426,s to run experiment
0.41768336296,V maximum

Raw Data

Step #1
Data Pt, Times (s), Current (A), Potential (V)
484,4.86727,1e-06,-0.051538944244
485,4.87733,1e-06,-0.051585197449
486,4.8874,1e-06,-0.051298618317
487,4.89748,1e-06,-0.051355838776
488,4.90755,1e-06,-0.051046848297
489,4.91763,1e-06,-0.051115512848
490,4.9277,1e-06,-0.050840854645
491,4.93777,1e-06,-0.05087518692
492,4.94785,1e-06,-0.050623416901
493,4.95793,1e-06,-0.050657749176
494,4.968,1e-06,-0.050394058228
495,4.97808,1e-06,-0.050439834595
496,4.98815,1e-06,-0.050176620483
497,4.99822,1e-06,-0.050188064575
498,5.0083,1e-06,-0.049924850464
499,5.01837,1e-06,-0.049982070923
500,5.02845,1e-06,-0.049695968628
501,5.03851,1e-06,-0.049753189087
502,5.04858,1e-06,-0.049455165863
503,5.05864,1e-06,-0.049523830414
504,5.06874,1e-06,-0.049283504486
505,5.07881,1e-06,-0.049317836761
506,5.08888,1e-06,-0.049077510834
507,5.09896,1e-06,-0.049111843109
508,5.10904,1e-06,-0.048814296722
509,5.11911,1e-06,-0.048848628998
510,5.12919,1e-06,-0.048642635345
511,5.13927,1e-06,-0.048619747162
512,5.14934,1e-06,-0.048413276672
513,5.16194,1e-06,-0.048264503479
514,5.1695,1e-06,-0.048184394836
515,5.17955,1e-06,-0.048104286194
516,5.18961,1e-06,-0.047932624817
517,5.19969,1e-06,-0.047875404358
518,5.20976,1e-06,-0.047715187073
519,5.21984,1e-06,-0.047623634338
520,5.2299,1e-06,-0.047497272491
521,5.23997,1e-06,-0.047405719757
522,5.25005,1e-06,-0.047279834747
523,5.26011,1e-06,-0.047142505646
524,5.27018,1e-06,-0.047028064728
525,5.28026,1e-06,-0.046947956085
526,5.29033,1e-06,-0.046799182892
527,5.3004,1e-06,-0.046719074249
528,5.31048,1e-06,-0.046546936035
529,5.32058,1e-06,-0.04651260376
530,5.33065,1e-06,-0.046340942383
531,5.34072,1e-06,-0.046283721924
532,5.3508,1e-06,-0.046112060547
533,5.36088,1e-06,-0.046089172363
534,5.37094,1e-06,-0.045883178711
535,5.38102,1e-06,-0.04581451416
536,5.39109,1e-06,-0.045631408691
